date,close
04/24/07,93.24
04/25/07,95.35
04/26/07,98.84
04/27/07,99.92
05/01/07,99.47
05/02/07,100.39
05/03/07,100.4
05/04/07,100.81
05/07/07,103.92
05/08/07,105.6
05/09/07,106.88
05/10/07,107.34
05/11/07,108.74
05/14/07,109.36
05/15/07,107.52
05/16/07,107.34
05/17/07,109.44
05/18/07,110.02
05/21/07,111.98
05/22/07,113.54
05/23/07,112.89
05/24/07,110.69
05/25/07,113.62
05/29/07,114.35
05/30/07,118.77
05/31/07,121.19
06/01/07,118.4
06/04/07,121.33
06/05/07,122.67
06/06/07,123.64
06/07/07,124.07
06/08/07,124.49
06/11/07,120.19
06/12/07,120.38
06/13/07,117.5
06/14/07,118.75
06/15/07,120.5
06/18/07,125.09
06/19/07,123.66
06/20/07,121.55
06/21/07,123.9
06/22/07,123
06/25/07,122.34
06/26/07,119.65
06/27/07,121.89
06/28/07,120.56
06/29/07,122.04
07/02/07,121.26
07/03/07,127.17
07/05/07,132.75
07/06/07,132.3
07/09/07,130.33
07/10/07,132.35
07/11/07,132.39
07/12/07,134.07
07/13/07,137.73
07/16/07,138.1
07/17/07,138.91
07/18/07,138.12
07/19/07,140
07/20/07,143.75
07/23/07,143.7
07/24/07,134.89
07/25/07,137.26
07/26/07,146
07/27/07,143.85
07/30/07,141.43
08/01/07,135
08/02/07,136.49
08/03/07,131.85
08/06/07,135.25
08/07/07,135.03
08/08/07,134.01
08/09/07,126.39
08/10/07,125
08/13/07,127.79
08/14/07,124.03
08/15/07,119.9
08/16/07,117.05
08/17/07,122.06
08/20/07,122.22
08/21/07,127.57
08/22/07,132.51
08/23/07,131.07
08/24/07,135.3
08/27/07,132.25
08/28/07,126.82
08/29/07,134.08
08/30/07,136.25
08/31/07,138.48
09/04/07,144.16
09/05/07,136.76
09/06/07,135.01
09/07/07,131.77
09/10/07,136.71
09/11/07,135.49
09/12/07,136.85
09/13/07,137.2
09/14/07,138.81
09/17/07,138.41
09/18/07,140.92
09/19/07,140.77
09/20/07,140.31
09/21/07,144.15
09/24/07,148.28
09/25/07,153.18
09/26/07,152.77
09/27/07,154.5
09/28/07,153.47
10/01/07,156.34
10/02/07,158.45
10/03/07,157.92
10/04/07,156.24
10/05/07,161.45
10/08/07,167.91
10/09/07,167.86
10/10/07,166.79
10/11/07,162.23
10/12/07,167.25
10/15/07,166.98
10/16/07,169.58
10/17/07,172.75
10/18/07,173.5
10/19/07,170.42
10/22/07,174.36
10/23/07,186.16
10/24/07,185.93
10/25/07,182.78
10/26/07,184.7
10/29/07,185.09
10/30/07,187
10/31/07,189.95
11/01/07,187.44
11/02/07,187.87
11/05/07,186.18
11/06/07,191.79
11/07/07,186.3
11/08/07,175.47
11/09/07,165.37
11/12/07,153.76
11/13/07,169.96
11/14/07,166.11
11/15/07,164.3
11/16/07,166.39
11/19/07,163.95
11/20/07,168.85
11/21/07,168.46
11/23/07,171.54
11/26/07,172.54
11/27/07,174.81
11/28/07,180.22
11/29/07,184.29
11/30/07,182.22
12/03/07,178.86
12/04/07,179.81
12/05/07,185.5
12/06/07,189.95
12/07/07,194.3
12/10/07,194.21
12/11/07,188.54
12/12/07,190.86
12/13/07,191.83
12/14/07,190.39
12/17/07,184.4
12/18/07,182.98
12/19/07,183.12
12/20/07,187.21
12/21/07,193.91
12/24/07,198.8
12/26/07,198.95
12/27/07,198.57
12/28/07,199.83
12/31/07,198.08
01/02/08,194.84
01/03/08,194.93
01/04/08,180.05
01/07/08,177.64
01/08/08,171.25
01/09/08,179.4
01/10/08,178.02
01/11/08,172.69
01/14/08,178.78
01/15/08,169.04
01/16/08,159.64
01/17/08,160.89
01/18/08,161.36
01/22/08,155.64
01/23/08,139.07
01/24/08,135.6
01/25/08,130.01
01/28/08,130.01
01/29/08,131.54
01/30/08,132.18
01/31/08,135.36
